order_id,store_id,customer_id,order_datetime,order_status,order_created_at,picking_started_at,picking_completed_at,packed_at,dispatched_at,picking_time_minutes,fulfillment_time_minutes
5000001,102,161815,2026-05-31 18:03:00,Delivered,2026-05-31 18:03:00,2026-05-31 18:06:00,2026-05-31 18:09:12.498511074,2026-05-31 18:11:06.086886234,2026-05-31 18:13:06.005610828,3.2083085179,10.100093513800001
5000002,108,126065,2026-06-07 13:03:00,Delivered,2026-06-07 13:03:00,2026-06-07 13:05:00,2026-06-07 13:09:18.091889262,2026-06-07 13:10:57.522443100,2026-06-07 13:12:16.942451466,4.3015314877,9.282374191099999
5000003,109,177734,2026-04-19 11:03:00,Delivered,2026-04-19 11:03:00,2026-04-19 11:05:00,2026-04-19 11:10:10.613701350,2026-04-19 11:11:27.649395552,2026-04-19 11:15:13.152374112,5.1768950225,12.2192062352
5000004,105,168676,2026-04-24 21:03:00,Delivered,2026-04-24 21:03:00,2026-04-24 21:05:00,2026-04-24 21:09:00.146673966,2026-04-24 21:10:07.785289644,2026-04-24 21:13:00.931527036,4.0024445661,10.0155254506
5000005,102,139735,2026-06-17 17:03:00,Delivered,2026-06-17 17:03:00,2026-06-17 17:05:00,2026-06-17 17:10:47.415210564,2026-06-17 17:12:05.754565734,2026-06-17 17:13:07.671406212,5.7902535094,10.1278567702
5000006,110,192132,2026-04-21 22:03:00,Delivered,2026-04-21 22:03:00,2026-04-21 22:06:00,2026-04-21 22:11:36.811367448,2026-04-21 22:13:11.804759958,2026-04-21 22:15:50.936911656,5.6135227908,12.8489485276
5000007,103,158309,2026-03-22 12:03:00,Delivered,2026-03-22 12:03:00,2026-03-22 12:06:00,2026-03-22 12:07:16.190956128,2026-03-22 12:08:49.743745452,2026-03-22 12:10:32.498640810,1.2698492688,7.5416440135
5000008,102,146035,2026-05-17 07:03:00,Delivered,2026-05-17 07:03:00,2026-05-17 07:04:00,2026-05-17 07:08:50.539987698,2026-05-17 07:09:45.625301790,2026-05-17 07:11:14.003724582,4.8423331283,8.2333954097
5000009,102,174551,2026-04-17 22:03:00,Delivered,2026-04-17 22:03:00,2026-04-17 22:05:00,2026-04-17 22:08:19.463139288,2026-04-17 22:09:18.792204828,2026-04-17 22:10:55.661213610,3.3243856548,7.9276868935
5000010,104,190455,2026-06-02 11:03:00,Delivered,2026-06-02 11:03:00,2026-06-02 11:06:00,2026-06-02 11:09:30.097742808,2026-06-02 11:11:03.228016386,2026-06-02 11:13:40.130587464,3.5016290467999998,10.6688431244
5000011,108,180793,2026-04-05 21:03:00,Delivered,2026-04-05 21:03:00,2026-04-05 21:04:00,2026-04-05 21:11:13.012018524,2026-04-05 21:12:56.913898098,2026-04-05 21:15:02.000769210,7.216866975399999,12.0333461535
5000012,104,114298,2026-06-07 19:03:00,Delivered,2026-06-07 19:03:00,2026-06-07 19:04:00,2026-06-07 19:08:53.307701454,2026-06-07 19:10:04.256350104,2026-06-07 19:12:13.827167538,4.8884616909,9.230452792300001
5000013,105,170846,2026-01-09 10:03:00,Delivered,2026-01-09 10:03:00,2026-01-09 10:04:00,2026-01-09 10:07:08.632613598,2026-01-09 10:08:04.428663582,2026-01-09 10:10:30.039142638,3.1438768933000003,7.5006523773
5000014,104,153990,2026-01-07 19:03:00,Delivered,2026-01-07 19:03:00,2026-01-07 19:04:00,2026-01-07 19:07:58.560997584,2026-01-07 19:09:29.259294359,2026-01-07 19:12:26.327907815,3.9760166264000003,9.438798463583334
5000015,110,197771,2026-01-18 08:03:00,Delivered,2026-01-18 08:03:00,2026-01-18 08:05:00,2026-01-18 08:09:34.932247230,2026-01-18 08:10:11.943001002,2026-01-18 08:14:14.908568958,4.582204120499999,11.2484761493
5000016,107,188632,2026-04-11 13:03:00,Delivered,2026-04-11 13:03:00,2026-04-11 13:05:00,2026-04-11 13:08:56.475312828,2026-04-11 13:10:17.105351832,2026-04-11 13:12:16.462049460,3.9412552138,9.274367491
5000017,107,186162,2026-05-09 13:03:00,Delivered,2026-05-09 13:03:00,2026-05-09 13:06:00,2026-05-09 13:11:19.333899186,2026-05-09 13:13:03.580876368,2026-05-09 13:14:55.187364684,5.3222316531,11.9197894114
5000018,105,113153,2026-02-09 18:03:00,Delivered,2026-02-09 18:03:00,2026-02-09 18:06:00,2026-02-09 18:10:04.304107350,2026-02-09 18:11:28.385498454,2026-02-09 18:13:45.475833858,4.0717351225,10.7579305643
5000019,106,121508,2026-01-29 16:03:00,Delivered,2026-01-29 16:03:00,2026-01-29 16:06:00,2026-01-29 16:10:21.567731322,2026-01-29 16:11:13.938853620,2026-01-29 16:13:59.778821124,4.359462188699999,10.9963136854
5000020,109,188903,2026-06-05 17:03:00,Delivered,2026-06-05 17:03:00,2026-06-05 17:05:00,2026-06-05 17:09:27.877176696,2026-06-05 17:11:34.021297902,2026-06-05 17:14:38.687529828,4.4646196116,11.6447921638
5000021,107,199945,2026-05-16 15:03:00,Delivered,2026-05-16 15:03:00,2026-05-16 15:06:00,2026-05-16 15:11:15.376299528,2026-05-16 15:12:45.512359854,2026-05-16 15:14:09.734260314,5.2562716588,11.1622376719
5000022,109,175711,2026-04-28 19:03:00,Delivered,2026-04-28 19:03:00,2026-04-28 19:06:00,2026-04-28 19:08:26.513742834,2026-04-28 19:10:01.512127500,2026-04-28 19:14:09.910839228,2.4418957139,11.1651806538
5000023,101,170430,2026-03-30 09:03:00,Delivered,2026-03-30 09:03:00,2026-03-30 09:06:00,2026-03-30 09:11:21.483280512,2026-03-30 09:13:12.556432002,2026-03-30 09:14:27.998592474,5.3580546752,11.4666432079
5000024,109,150747,2026-03-18 19:03:00,Delivered,2026-03-18 19:03:00,2026-03-18 19:05:00,2026-03-18 19:11:03.533338788,2026-03-18 19:12:29.175114018,2026-03-18 19:15:23.952479400,6.0588889798,12.39920799
5000025,110,191316,2026-01-04 07:03:00,Delivered,2026-01-04 07:03:00,2026-01-04 07:05:00,2026-01-04 07:08:57.394533480,2026-01-04 07:10:20.782847442,2026-01-04 07:13:08.848907964,3.956575558,10.1474817994
5000026,107,108489,2026-02-04 08:03:00,Delivered,2026-02-04 08:03:00,2026-02-04 08:04:00,2026-02-04 08:07:14.027596584,2026-02-04 08:09:13.475268960,2026-02-04 08:10:18.202489428,3.2337932764,7.3033748238
5000027,110,149736,2026-06-12 19:03:00,Delivered,2026-06-12 19:03:00,2026-06-12 19:04:00,2026-06-12 19:07:53.681925318,2026-06-12 19:09:04.041982566,2026-06-12 19:11:28.973801418,3.8946987553,8.4828966903
5000028,106,110643,2026-03-03 09:03:00,Delivered,2026-03-03 09:03:00,2026-03-03 09:06:00,2026-03-03 09:11:09.144818184,2026-03-03 09:13:01.097189574,2026-03-03 09:13:49.279096392,5.1524136363999995,10.821318273200001
5000029,103,189350,2026-05-08 20:03:00,Delivered,2026-05-08 20:03:00,2026-05-08 20:06:00,2026-05-08 20:12:46.111751418,2026-05-08 20:13:48.979474086,2026-05-08 20:15:21.170724461,6.7685291903,12.352845407683333
5000030,107,140142,2026-05-08 09:03:00,Delivered,2026-05-08 09:03:00,2026-05-08 09:06:00,2026-05-08 09:11:40.246811448,2026-05-08 09:12:52.762033902,2026-05-08 09:15:01.546760856,5.6707801908,12.0257793476
5000031,107,198469,2026-02-26 09:03:00,Delivered,2026-02-26 09:03:00,2026-02-26 09:05:00,2026-02-26 09:07:45.487058322,2026-02-26 09:09:22.477324218,2026-02-26 09:11:41.273000424,2.7581176387,8.687883340399999
5000032,102,106510,2026-02-06 22:03:00,Delivered,2026-02-06 22:03:00,2026-02-06 22:06:00,2026-02-06 22:12:32.005034052,2026-02-06 22:14:36.285013062,2026-02-06 22:17:48.047383944,6.5334172342,14.8007897324
