product_id,order_count,units_sold,sales_value,cum_pct,abc_class,velocity_rank,sku_code,product_name,category,subcategory,brand,unit_price,unit_weight_kg,shelf_life_days,unit_cost
10001,1497,2107,77916.86,3.911630929174789,A,1.0,SKU10001,Namkeen 0001,Snacks,Namkeen,Local,36.98,2.276,104,28.6
10002,1236,1753,118678.1,7.166063306414183,A,2.0,SKU10002,Frozen Snacks 0002,Frozen,Frozen Snacks,Tata,67.7,4.468,73,47.84
10003,1210,1675,59747.25,10.275689223057643,A,3.0,SKU10003,Cleaner 0003,Household,Cleaner,Dove,35.67,3.761,145,27.08
10004,1146,1593,121322.87999999999,13.233082706766917,A,4.0,SKU10004,Tissue 0004,Household,Tissue,Dove,76.16,4.959,107,54.86
10005,1040,1437,134991.78,15.900863269284322,A,5.0,SKU10005,Detergent 0005,Household,Detergent,Local,93.94,2.68,121,74.04
10006,1016,1397,91615.26,18.494384108419197,A,6.0,SKU10006,Garbage Bags 0006,Household,Garbage Bags,Amul,65.58,3.317,194,47.37
10008,970,1341,91871.91,20.983941334818528,A,8.0,SKU10008,Buns 0008,Bakery,Buns,Amul,68.51,4.74,322,50.86
10007,974,1337,63266.840000000004,23.466072588879605,A,7.0,SKU10007,Chips 0007,Snacks,Chips,Local,47.32,1.547,70,32.7
10009,918,1259,58908.61,25.80339738234475,A,9.0,SKU10009,Flour 0009,Staples,Flour,ITC,46.79,1.863,266,31.39
10010,883,1209,105376.44,28.04789752158173,A,10.0,SKU10010,Coffee 0010,Beverages,Coffee,Parle,87.16,3.706,278,56.08
10012,377,502,23172.32,28.97985705003249,A,11.0,SKU10012,Onion 0012,Vegetables,Onion,Britannia,46.16,2.831,259,27.5
10011,357,483,10553.550000000001,29.876543209876544,A,12.0,SKU10011,Chips 0011,Snacks,Chips,Nestle,21.85,2.046,63,14.78
10014,345,471,12175.35,30.750951452705838,A,13.0,SKU10014,Ice Cream 0014,Frozen,Ice Cream,Dove,25.85,2.569,65,16.04
10015,337,461,49778.78,31.6067947646895,A,14.0,SKU10015,Garbage Bags 0015,Household,Garbage Bags,Nestle,107.98,4.54,274,63.87
10013,333,449,9060.82,32.440360159658404,A,15.0,SKU10013,Cakes 0013,Bakery,Cakes,Britannia,20.18,3.613,305,15.44
10016,289,414,35363.88,33.20894829666759,A,17.0,SKU10016,Soap 0016,Personal Care,Soap,Nestle,85.42,2.126,131,52.66
10017,296,407,15506.7,33.96454098208484,A,16.0,SKU10017,Juice 0017,Beverages,Juice,Local,38.1,3.253,287,29.62
10018,278,384,9891.84,34.67743432655713,A,18.0,SKU10018,Rice 0018,Staples,Rice,Britannia,25.76,1.745,175,16.46
10021,267,371,67941.23,35.3661932609301,A,20.0,SKU10021,Coffee 0021,Beverages,Coffee,Parle,183.13,0.673,143,104.57
10020,268,369,15354.09,36.051239209133946,A,19.0,SKU10020,Water 0020,Beverages,Water,Local,41.61,2.228,55,32.51
10019,246,357,5355.0,36.71400724032303,A,21.0,SKU10019,Namkeen 0019,Snacks,Namkeen,Local,15.0,2.07,293,11.03
10024,231,320,22044.8,37.30808502738327,A,23.0,SKU10024,Chocolate 0024,Snacks,Chocolate,Nestle,68.89,3.295,113,41.92
10022,236,317,21511.62,37.89659333518983,A,22.0,SKU10022,Apple 0022,Fruits,Apple,Britannia,67.86,0.504,101,51.34
10026,231,309,14541.54,38.470249698319876,A,23.0,SKU10026,Cheese 0026,Dairy,Cheese,Britannia,47.06,0.148,48,37.44
10025,230,296,7405.92,39.019771651350595,A,24.0,SKU10025,Sugar 0025,Staples,Sugar,Parle,25.02,3.331,140,18.41
10023,207,271,11184.17,39.522881277267246,A,25.0,SKU10023,Butter 0023,Dairy,Butter,Britannia,41.27,3.354,92,26.13
10034,192,263,32422.64,40.01113895850738,A,28.0,SKU10034,Onion 0034,Vegetables,Onion,Britannia,123.28,1.412,176,72.3
10027,196,262,15033.560000000001,40.497540146662956,A,26.0,SKU10027,Dal 0027,Staples,Dal,ITC,57.38,1.666,258,36.13
10030,193,250,16217.500000000002,40.96166341780377,A,27.0,SKU10030,Soap 0030,Personal Care,Soap,Amul,64.87,4.31,257,45.39
10029,182,248,20107.84,41.42207370277546,A,30.0,SKU10029,Orange 0029,Fruits,Orange,Parle,81.08,3.902,303,50.94
