dispatch_id,order_id,store_id,rider_id,rider_assigned_at,rider_arrived_at,dispatch_time,delivery_deadline
8000001,5000001,102,3011,2026-05-31 18:12:11.086886234,2026-05-31 18:12:52.086886234,2026-05-31 18:13:06.005610828,2026-05-31 18:33:00
8000002,5000002,108,3055,2026-06-07 13:11:39.522443100,2026-06-07 13:12:43.522443100,2026-06-07 13:12:16.942451466,2026-06-07 13:23:00
8000003,5000003,109,3069,2026-04-19 11:12:16.649395552,2026-04-19 11:13:30.649395552,2026-04-19 11:15:13.152374112,2026-04-19 11:23:00
8000004,5000004,105,3008,2026-04-24 21:11:30.785289644,2026-04-24 21:12:31.785289644,2026-04-24 21:13:00.931527036,2026-04-24 21:23:00
8000005,5000005,102,3073,2026-06-17 17:13:19.754565734,2026-06-17 17:14:18.754565734,2026-06-17 17:13:07.671406212,2026-06-17 17:23:00
8000006,5000006,110,3037,2026-04-21 22:14:12.804759958,2026-04-21 22:15:29.804759958,2026-04-21 22:15:50.936911656,2026-04-21 22:28:00
8000007,5000007,103,3020,2026-03-22 12:10:18.743745452,2026-03-22 12:11:44.743745452,2026-03-22 12:10:32.498640810,2026-03-22 12:23:00
8000008,5000008,102,3082,2026-05-17 07:10:13.625301790,2026-05-17 07:11:11.625301790,2026-05-17 07:11:14.003724582,2026-05-17 07:23:00
8000009,5000009,102,3098,2026-04-17 22:10:40.792204828,2026-04-17 22:11:11.792204828,2026-04-17 22:10:55.661213610,2026-04-17 22:23:00
8000010,5000010,104,3017,2026-06-02 11:11:32.228016386,2026-06-02 11:14:00.228016386,2026-06-02 11:13:40.130587464,2026-06-02 11:33:00
8000011,5000011,108,3080,2026-04-05 21:13:22.913898098,2026-04-05 21:13:59.913898098,2026-04-05 21:15:02.000769210,2026-04-05 21:28:00
8000012,5000012,104,3072,2026-06-07 19:11:09.256350104,2026-06-07 19:11:51.256350104,2026-06-07 19:12:13.827167538,2026-06-07 19:28:00
8000013,5000013,105,3047,2026-01-09 10:08:32.428663582,2026-01-09 10:09:20.428663582,2026-01-09 10:10:30.039142638,2026-01-09 10:23:00
8000014,5000014,104,3035,2026-01-07 19:10:08.259294359,2026-01-07 19:11:07.259294359,2026-01-07 19:12:26.327907815,2026-01-07 19:23:00
8000015,5000015,110,3027,2026-01-18 08:11:23.943001002,2026-01-18 08:11:26.943001002,2026-01-18 08:14:14.908568958,2026-01-18 08:33:00
8000016,5000016,107,3055,2026-04-11 13:11:08.105351832,2026-04-11 13:11:32.105351832,2026-04-11 13:12:16.462049460,2026-04-11 13:33:00
8000017,5000017,107,3091,2026-05-09 13:13:52.580876368,2026-05-09 13:14:30.580876368,2026-05-09 13:14:55.187364684,2026-05-09 13:33:00
8000018,5000018,105,3094,2026-02-09 18:12:32.385498454,2026-02-09 18:14:18.385498454,2026-02-09 18:13:45.475833858,2026-02-09 18:33:00
8000019,5000019,106,3072,2026-01-29 16:12:31.938853620,2026-01-29 16:12:51.938853620,2026-01-29 16:13:59.778821124,2026-01-29 16:28:00
8000020,5000020,109,3062,2026-06-05 17:12:43.021297902,2026-06-05 17:13:10.021297902,2026-06-05 17:14:38.687529828,2026-06-05 17:33:00
8000021,5000021,107,3091,2026-05-16 15:13:11.512359854,2026-05-16 15:15:39.512359854,2026-05-16 15:14:09.734260314,2026-05-16 15:23:00
8000022,5000022,109,3084,2026-04-28 19:11:03.512127500,2026-04-28 19:11:07.512127500,2026-04-28 19:14:09.910839228,2026-04-28 19:33:00
8000023,5000023,101,3053,2026-03-30 09:13:35.556432002,2026-03-30 09:14:42.556432002,2026-03-30 09:14:27.998592474,2026-03-30 09:28:00
8000024,5000024,109,3088,2026-03-18 19:13:06.175114018,2026-03-18 19:14:50.175114018,2026-03-18 19:15:23.952479400,2026-03-18 19:28:00
8000025,5000025,110,3080,2026-01-04 07:11:09.782847442,2026-01-04 07:12:56.782847442,2026-01-04 07:13:08.848907964,2026-01-04 07:28:00
8000026,5000026,107,3015,2026-02-04 08:09:55.475268960,2026-02-04 08:11:46.475268960,2026-02-04 08:10:18.202489428,2026-02-04 08:28:00
8000027,5000027,110,3090,2026-06-12 19:09:51.041982566,2026-06-12 19:10:10.041982566,2026-06-12 19:11:28.973801418,2026-06-12 19:28:00
8000028,5000028,106,3093,2026-03-03 09:14:23.097189574,2026-03-03 09:15:49.097189574,2026-03-03 09:13:49.279096392,2026-03-03 09:23:00
8000029,5000029,103,3041,2026-05-08 20:14:23.979474086,2026-05-08 20:15:04.979474086,2026-05-08 20:15:21.170724461,2026-05-08 20:28:00
8000030,5000030,107,3027,2026-05-08 09:13:42.762033902,2026-05-08 09:14:35.762033902,2026-05-08 09:15:01.546760856,2026-05-08 09:33:00
8000031,5000031,107,3094,2026-02-26 09:10:49.477324218,2026-02-26 09:11:14.477324218,2026-02-26 09:11:41.273000424,2026-02-26 09:28:00
8000032,5000032,102,3073,2026-02-06 22:15:12.285013062,2026-02-06 22:17:25.285013062,2026-02-06 22:17:48.047383944,2026-02-06 22:28:00
