inventory_id,store_id,product_id,inventory_date,stock_qty,reorder_level,stockout_flag
1,101,10001,2026-01-01,62,14,False
2,101,10002,2026-01-01,49,10,False
3,101,10003,2026-01-01,43,9,False
4,101,10004,2026-01-01,65,17,False
5,101,10005,2026-01-01,133,34,False
6,101,10006,2026-01-01,62,14,False
7,101,10007,2026-01-01,130,36,False
8,101,10008,2026-01-01,87,22,False
9,101,10009,2026-01-01,84,19,False
10,101,10010,2026-01-01,19,5,False
11,101,10011,2026-01-01,37,9,False
12,101,10012,2026-01-01,76,20,False
13,101,10013,2026-01-01,10,5,False
14,101,10014,2026-01-01,99,23,False
15,101,10015,2026-01-01,23,5,False
16,101,10016,2026-01-01,22,6,False
17,101,10017,2026-01-01,12,5,False
18,101,10018,2026-01-01,53,12,False
19,101,10019,2026-01-01,29,6,False
20,101,10020,2026-01-01,74,20,False
21,101,10021,2026-01-01,91,25,False
22,101,10022,2026-01-01,35,12,False
23,101,10023,2026-01-01,7,5,False
24,101,10024,2026-01-01,70,19,False
25,101,10025,2026-01-01,59,13,False
26,101,10026,2026-01-01,162,36,False
27,101,10027,2026-01-01,66,15,False
28,101,10028,2026-01-01,75,19,False
29,101,10029,2026-01-01,42,10,False
30,101,10030,2026-01-01,26,8,False
31,101,10031,2026-01-01,95,27,False
32,101,10032,2026-01-01,99,25,False
33,101,10033,2026-01-01,153,36,False
34,101,10034,2026-01-01,27,8,False
35,101,10035,2026-01-01,136,35,False
36,101,10036,2026-01-01,141,31,False
37,101,10037,2026-01-01,61,15,False
38,101,10038,2026-01-01,31,9,False
39,101,10039,2026-01-01,123,26,False
40,101,10040,2026-01-01,105,26,False
41,101,10041,2026-01-01,148,36,False
42,101,10042,2026-01-01,140,32,False
43,101,10043,2026-01-01,119,28,False
44,101,10044,2026-01-01,154,35,False
45,101,10045,2026-01-01,73,17,False
46,101,10046,2026-01-01,87,18,False
47,101,10047,2026-01-01,41,9,False
48,101,10048,2026-01-01,131,29,False
49,101,10049,2026-01-01,56,15,False
50,101,10050,2026-01-01,97,25,False
51,101,10051,2026-01-01,141,34,False
52,101,10052,2026-01-01,138,34,False
53,101,10053,2026-01-01,54,15,False
54,101,10054,2026-01-01,35,7,False
55,101,10055,2026-01-01,161,36,False
56,101,10056,2026-01-01,75,18,False
57,101,10057,2026-01-01,93,26,False
58,101,10058,2026-01-01,130,35,False
59,101,10059,2026-01-01,61,14,False
60,101,10060,2026-01-01,6,5,False
61,101,10061,2026-01-01,41,10,False
62,101,10062,2026-01-01,70,16,False
63,101,10063,2026-01-01,40,9,False
64,101,10064,2026-01-01,48,12,False
65,101,10065,2026-01-01,50,14,False
66,101,10066,2026-01-01,163,36,False
67,101,10067,2026-01-01,63,14,False
68,101,10068,2026-01-01,48,12,False
69,101,10069,2026-01-01,128,32,False
70,101,10070,2026-01-01,122,28,False
71,101,10071,2026-01-01,49,12,False
72,101,10072,2026-01-01,104,32,False
73,101,10073,2026-01-01,40,9,False
74,101,10074,2026-01-01,58,14,False
75,101,10075,2026-01-01,42,10,False
76,101,10076,2026-01-01,33,7,False
77,101,10077,2026-01-01,11,5,False
78,101,10078,2026-01-01,109,27,False
79,101,10079,2026-01-01,30,6,False
80,101,10080,2026-01-01,127,36,False
81,101,10081,2026-01-01,85,19,False
82,101,10082,2026-01-01,171,32,False
83,101,10083,2026-01-01,6,5,False
84,101,10084,2026-01-01,37,10,False
85,101,10085,2026-01-01,118,26,False
86,101,10086,2026-01-01,41,9,False
87,101,10087,2026-01-01,21,6,False
88,101,10088,2026-01-01,123,34,False
89,101,10089,2026-01-01,107,26,False
90,101,10090,2026-01-01,113,27,False
91,101,10091,2026-01-01,5,5,False
92,101,10092,2026-01-01,56,15,False
93,101,10093,2026-01-01,61,14,False
94,101,10094,2026-01-01,114,28,False
95,101,10095,2026-01-01,93,22,False
96,101,10096,2026-01-01,127,28,False
97,101,10097,2026-01-01,97,23,False
98,101,10098,2026-01-01,98,24,False
99,101,10099,2026-01-01,15,5,False
100,101,10100,2026-01-01,40,8,False
101,101,10101,2026-01-01,104,25,False
102,101,10102,2026-01-01,131,35,False
103,101,10103,2026-01-01,101,26,False
104,101,10104,2026-01-01,153,37,False
105,101,10105,2026-01-01,110,23,False
106,101,10106,2026-01-01,138,32,False
107,101,10107,2026-01-01,90,21,False
108,101,10108,2026-01-01,191,37,False
109,101,10109,2026-01-01,122,35,False
110,101,10110,2026-01-01,92,28,False
111,101,10111,2026-01-01,15,5,False
112,101,10112,2026-01-01,100,21,False
113,101,10113,2026-01-01,112,31,False
114,101,10114,2026-01-01,27,6,False
115,101,10115,2026-01-01,16,5,False
116,101,10116,2026-01-01,98,25,False
117,101,10117,2026-01-01,122,36,False
118,101,10118,2026-01-01,117,31,False
119,101,10119,2026-01-01,53,13,False
120,101,10120,2026-01-01,107,32,False
121,101,10121,2026-01-01,11,5,False
122,101,10122,2026-01-01,136,37,False
123,101,10123,2026-01-01,49,9,False
124,101,10124,2026-01-01,73,17,False
125,101,10125,2026-01-01,29,9,False
126,101,10126,2026-01-01,56,16,False
127,101,10127,2026-01-01,141,31,False
128,101,10128,2026-01-01,17,5,False
129,101,10129,2026-01-01,87,24,False
130,101,10130,2026-01-01,49,15,False
131,101,10131,2026-01-01,103,25,False
132,101,10132,2026-01-01,78,19,False
133,101,10133,2026-01-01,76,17,False
134,101,10134,2026-01-01,80,20,False
135,101,10135,2026-01-01,145,35,False
136,101,10136,2026-01-01,131,33,False
137,101,10137,2026-01-01,105,23,False
138,101,10138,2026-01-01,107,29,False
139,101,10139,2026-01-01,114,33,False
140,101,10140,2026-01-01,35,8,False
141,101,10141,2026-01-01,144,29,False
142,101,10142,2026-01-01,14,5,False
143,101,10143,2026-01-01,84,22,False
144,101,10144,2026-01-01,147,33,False
145,101,10145,2026-01-01,80,19,False
146,101,10146,2026-01-01,149,34,False
147,101,10147,2026-01-01,8,5,False
148,101,10148,2026-01-01,9,5,False
149,101,10149,2026-01-01,119,27,False
150,101,10150,2026-01-01,20,5,False
151,101,10151,2026-01-01,64,14,False
152,101,10152,2026-01-01,16,5,False
153,101,10153,2026-01-01,30,7,False
154,101,10154,2026-01-01,28,7,False
155,101,10155,2026-01-01,87,18,False
156,101,10156,2026-01-01,115,36,False
157,101,10157,2026-01-01,124,30,False
158,101,10158,2026-01-01,13,5,False
159,101,10159,2026-01-01,52,11,False
160,101,10160,2026-01-01,34,10,False
161,101,10161,2026-01-01,17,5,False
162,101,10162,2026-01-01,98,25,False
163,101,10163,2026-01-01,62,18,False
164,101,10164,2026-01-01,80,19,False
165,101,10165,2026-01-01,76,16,False
166,101,10166,2026-01-01,106,26,False
167,101,10167,2026-01-01,104,26,False
168,101,10168,2026-01-01,69,18,False
169,101,10169,2026-01-01,89,26,False
170,101,10170,2026-01-01,39,10,False
171,101,10171,2026-01-01,128,31,False
172,101,10172,2026-01-01,24,6,False
173,101,10173,2026-01-01,55,12,False
174,101,10174,2026-01-01,25,6,False
175,101,10175,2026-01-01,24,6,False
176,101,10176,2026-01-01,103,29,False
177,101,10177,2026-01-01,39,11,False
178,101,10178,2026-01-01,77,17,False
179,101,10179,2026-01-01,31,6,False
180,101,10180,2026-01-01,21,5,False
181,101,10181,2026-01-01,57,16,False
182,101,10182,2026-01-01,99,26,False
183,101,10183,2026-01-01,61,14,False
184,101,10184,2026-01-01,106,32,False
185,101,10185,2026-01-01,5,5,False
186,101,10186,2026-01-01,111,26,False
187,101,10187,2026-01-01,45,11,False
188,101,10188,2026-01-01,52,13,False
189,101,10189,2026-01-01,78,24,False
190,101,10190,2026-01-01,42,9,False
191,101,10191,2026-01-01,108,28,False
192,101,10192,2026-01-01,9,5,False
193,101,10193,2026-01-01,82,22,False
194,101,10194,2026-01-01,127,31,False
