order_item_id,order_id,product_id,quantity,unit_price
9000001,5000001,10376,1,26.55
9000002,5000002,10002,1,67.7
9000003,5000002,10166,1,50.04
9000004,5000002,10034,1,123.28
9000005,5000002,10124,1,71.45
9000006,5000003,10112,1,81.97
9000007,5000003,10004,1,76.16
9000008,5000003,10152,3,31.29
9000009,5000003,10010,1,87.16
9000010,5000003,10265,1,54.91
9000011,5000004,10012,2,46.16
9000012,5000004,10034,1,123.28
9000013,5000004,10272,1,83.72
9000014,5000004,10017,1,38.1
9000015,5000005,10119,2,39.71
9000016,5000005,10001,1,36.98
9000017,5000005,10004,1,76.16
9000018,5000005,10373,3,20.73
9000019,5000005,10002,1,67.7
9000020,5000006,10018,1,25.76
9000021,5000006,10293,1,56.27
9000022,5000006,10102,1,35.92
9000023,5000006,10020,2,41.61
9000024,5000006,10017,2,38.1
9000025,5000007,10020,1,41.61
9000026,5000008,10028,1,52.3
9000027,5000008,10027,2,57.38
9000028,5000008,10062,1,32.97
9000029,5000008,10043,2,62.12
9000030,5000009,10237,1,17.46
9000031,5000010,10290,2,60.42
9000032,5000010,10083,1,71.82
9000033,5000010,10001,1,36.98
9000034,5000010,10106,1,61.84
9000035,5000011,10035,2,33.61
9000036,5000011,10013,1,20.18
9000037,5000011,10075,3,52.7
9000038,5000011,10498,1,78.87
9000039,5000011,10025,2,25.02
9000040,5000011,10005,1,93.94
9000041,5000011,10005,1,93.94
9000042,5000011,10028,2,52.3
9000043,5000012,10101,1,30.32
9000044,5000012,10007,1,47.32
9000045,5000012,10214,1,49.38
9000046,5000012,10412,1,35.48
9000047,5000012,10488,2,74.32
9000048,5000012,10092,1,101.9
9000049,5000013,10005,1,93.94
9000050,5000013,10286,1,107.73
9000051,5000013,10325,2,49.35
9000052,5000014,10007,2,47.32
9000053,5000014,10008,1,68.51
9000054,5000014,10026,1,47.06
9000055,5000014,10165,1,137.54
9000056,5000015,10219,1,92.26
9000057,5000015,10031,1,76.26
9000058,5000015,10001,1,36.98
9000059,5000015,10044,1,119.39
9000060,5000016,10014,2,25.85
9000061,5000016,10049,1,24.96
