order_id,store_id,customer_id,order_datetime,order_status,order_created_at,picking_started_at,picking_completed_at,packed_at,dispatched_at
5000001,102,161815,2026-05-31 18:03:00,Delivered,2026-05-31 18:03:00,2026-05-31 18:06:00,2026-05-31 18:09:12.498511074,2026-05-31 18:11:06.086886234,2026-05-31 18:13:06.005610828
5000002,108,126065,2026-06-07 13:03:00,Delivered,2026-06-07 13:03:00,2026-06-07 13:05:00,2026-06-07 13:09:18.091889262,2026-06-07 13:10:57.522443100,2026-06-07 13:12:16.942451466
5000003,109,177734,2026-04-19 11:03:00,Delivered,2026-04-19 11:03:00,2026-04-19 11:05:00,2026-04-19 11:10:10.613701350,2026-04-19 11:11:27.649395552,2026-04-19 11:15:13.152374112
5000004,105,168676,2026-04-24 21:03:00,Delivered,2026-04-24 21:03:00,2026-04-24 21:05:00,2026-04-24 21:09:00.146673966,2026-04-24 21:10:07.785289644,2026-04-24 21:13:00.931527036
5000005,102,139735,2026-06-17 17:03:00,Delivered,2026-06-17 17:03:00,2026-06-17 17:05:00,2026-06-17 17:10:47.415210564,2026-06-17 17:12:05.754565734,2026-06-17 17:13:07.671406212
5000006,110,192132,2026-04-21 22:03:00,Delivered,2026-04-21 22:03:00,2026-04-21 22:06:00,2026-04-21 22:11:36.811367448,2026-04-21 22:13:11.804759958,2026-04-21 22:15:50.936911656
5000007,103,158309,2026-03-22 12:03:00,Delivered,2026-03-22 12:03:00,2026-03-22 12:06:00,2026-03-22 12:07:16.190956128,2026-03-22 12:08:49.743745452,2026-03-22 12:10:32.498640810
5000008,102,146035,2026-05-17 07:03:00,Delivered,2026-05-17 07:03:00,2026-05-17 07:04:00,2026-05-17 07:08:50.539987698,2026-05-17 07:09:45.625301790,2026-05-17 07:11:14.003724582
5000009,102,174551,2026-04-17 22:03:00,Delivered,2026-04-17 22:03:00,2026-04-17 22:05:00,2026-04-17 22:08:19.463139288,2026-04-17 22:09:18.792204828,2026-04-17 22:10:55.661213610
5000010,104,190455,2026-06-02 11:03:00,Delivered,2026-06-02 11:03:00,2026-06-02 11:06:00,2026-06-02 11:09:30.097742808,2026-06-02 11:11:03.228016386,2026-06-02 11:13:40.130587464
5000011,108,180793,2026-04-05 21:03:00,Delivered,2026-04-05 21:03:00,2026-04-05 21:04:00,2026-04-05 21:11:13.012018524,2026-04-05 21:12:56.913898098,2026-04-05 21:15:02.000769210
5000012,104,114298,2026-06-07 19:03:00,Delivered,2026-06-07 19:03:00,2026-06-07 19:04:00,2026-06-07 19:08:53.307701454,2026-06-07 19:10:04.256350104,2026-06-07 19:12:13.827167538
5000013,105,170846,2026-01-09 10:03:00,Delivered,2026-01-09 10:03:00,2026-01-09 10:04:00,2026-01-09 10:07:08.632613598,2026-01-09 10:08:04.428663582,2026-01-09 10:10:30.039142638
5000014,104,153990,2026-01-07 19:03:00,Delivered,2026-01-07 19:03:00,2026-01-07 19:04:00,2026-01-07 19:07:58.560997584,2026-01-07 19:09:29.259294359,2026-01-07 19:12:26.327907815
5000015,110,197771,2026-01-18 08:03:00,Delivered,2026-01-18 08:03:00,2026-01-18 08:05:00,2026-01-18 08:09:34.932247230,2026-01-18 08:10:11.943001002,2026-01-18 08:14:14.908568958
5000016,107,188632,2026-04-11 13:03:00,Delivered,2026-04-11 13:03:00,2026-04-11 13:05:00,2026-04-11 13:08:56.475312828,2026-04-11 13:10:17.105351832,2026-04-11 13:12:16.462049460
5000017,107,186162,2026-05-09 13:03:00,Delivered,2026-05-09 13:03:00,2026-05-09 13:06:00,2026-05-09 13:11:19.333899186,2026-05-09 13:13:03.580876368,2026-05-09 13:14:55.187364684
5000018,105,113153,2026-02-09 18:03:00,Delivered,2026-02-09 18:03:00,2026-02-09 18:06:00,2026-02-09 18:10:04.304107350,2026-02-09 18:11:28.385498454,2026-02-09 18:13:45.475833858
5000019,106,121508,2026-01-29 16:03:00,Delivered,2026-01-29 16:03:00,2026-01-29 16:06:00,2026-01-29 16:10:21.567731322,2026-01-29 16:11:13.938853620,2026-01-29 16:13:59.778821124
5000020,109,188903,2026-06-05 17:03:00,Delivered,2026-06-05 17:03:00,2026-06-05 17:05:00,2026-06-05 17:09:27.877176696,2026-06-05 17:11:34.021297902,2026-06-05 17:14:38.687529828
5000021,107,199945,2026-05-16 15:03:00,Delivered,2026-05-16 15:03:00,2026-05-16 15:06:00,2026-05-16 15:11:15.376299528,2026-05-16 15:12:45.512359854,2026-05-16 15:14:09.734260314
5000022,109,175711,2026-04-28 19:03:00,Delivered,2026-04-28 19:03:00,2026-04-28 19:06:00,2026-04-28 19:08:26.513742834,2026-04-28 19:10:01.512127500,2026-04-28 19:14:09.910839228
5000023,101,170430,2026-03-30 09:03:00,Delivered,2026-03-30 09:03:00,2026-03-30 09:06:00,2026-03-30 09:11:21.483280512,2026-03-30 09:13:12.556432002,2026-03-30 09:14:27.998592474
5000024,109,150747,2026-03-18 19:03:00,Delivered,2026-03-18 19:03:00,2026-03-18 19:05:00,2026-03-18 19:11:03.533338788,2026-03-18 19:12:29.175114018,2026-03-18 19:15:23.952479400
5000025,110,191316,2026-01-04 07:03:00,Delivered,2026-01-04 07:03:00,2026-01-04 07:05:00,2026-01-04 07:08:57.394533480,2026-01-04 07:10:20.782847442,2026-01-04 07:13:08.848907964
5000026,107,108489,2026-02-04 08:03:00,Delivered,2026-02-04 08:03:00,2026-02-04 08:04:00,2026-02-04 08:07:14.027596584,2026-02-04 08:09:13.475268960,2026-02-04 08:10:18.202489428
5000027,110,149736,2026-06-12 19:03:00,Delivered,2026-06-12 19:03:00,2026-06-12 19:04:00,2026-06-12 19:07:53.681925318,2026-06-12 19:09:04.041982566,2026-06-12 19:11:28.973801418
5000028,106,110643,2026-03-03 09:03:00,Delivered,2026-03-03 09:03:00,2026-03-03 09:06:00,2026-03-03 09:11:09.144818184,2026-03-03 09:13:01.097189574,2026-03-03 09:13:49.279096392
5000029,103,189350,2026-05-08 20:03:00,Delivered,2026-05-08 20:03:00,2026-05-08 20:06:00,2026-05-08 20:12:46.111751418,2026-05-08 20:13:48.979474086,2026-05-08 20:15:21.170724461
5000030,107,140142,2026-05-08 09:03:00,Delivered,2026-05-08 09:03:00,2026-05-08 09:06:00,2026-05-08 09:11:40.246811448,2026-05-08 09:12:52.762033902,2026-05-08 09:15:01.546760856
5000031,107,198469,2026-02-26 09:03:00,Delivered,2026-02-26 09:03:00,2026-02-26 09:05:00,2026-02-26 09:07:45.487058322,2026-02-26 09:09:22.477324218,2026-02-26 09:11:41.273000424
5000032,102,106510,2026-02-06 22:03:00,Delivered,2026-02-06 22:03:00,2026-02-06 22:06:00,2026-02-06 22:12:32.005034052,2026-02-06 22:14:36.285013062,2026-02-06 22:17:48.047383944
5000033,103,182243,2026-05-06 10:03:00,Delivered,2026-05-06 10:03:00,2026-05-06 10:04:00,2026-05-06 10:06:44.832546930,2026-05-06 10:08:18.370495314,2026-05-06 10:09:57.134176662
5000034,103,122106,2026-01-17 22:03:00,Delivered,2026-01-17 22:03:00,2026-01-17 22:06:00,2026-01-17 22:09:37.036255614,2026-01-17 22:10:33.432792078,2026-01-17 22:13:02.896219518
5000035,106,179785,2026-03-31 12:03:00,Delivered,2026-03-31 12:03:00,2026-03-31 12:06:00,2026-03-31 12:11:26.750251338,2026-03-31 12:13:13.815924102,2026-03-31 12:16:10.254876234
5000036,102,179975,2026-06-10 20:03:00,Delivered,2026-06-10 20:03:00,2026-06-10 20:05:00,2026-06-10 20:09:13.304564226,2026-06-10 20:10:24.241608876,2026-06-10 20:12:33.452887476
5000037,108,121599,2026-05-09 22:03:00,Delivered,2026-05-09 22:03:00,2026-05-09 22:04:00,2026-05-09 22:07:35.073293160,2026-05-09 22:09:20.266445742,2026-05-09 22:11:32.006658210
5000038,102,140749,2026-05-19 08:03:00,Delivered,2026-05-19 08:03:00,2026-05-19 08:06:00,2026-05-19 08:11:23.677911300,2026-05-19 08:13:00.577574580,2026-05-19 08:14:02.639520125
5000039,110,113520,2026-01-16 12:03:00,Delivered,2026-01-16 12:03:00,2026-01-16 12:04:00,2026-01-16 12:09:07.678135758,2026-01-16 12:10:01.649348574,2026-01-16 12:10:55.994169912
5000040,107,163023,2026-02-06 16:03:00,Delivered,2026-02-06 16:03:00,2026-02-06 16:04:00,2026-02-06 16:07:13.704227544,2026-02-06 16:08:52.350271104,2026-02-06 16:10:23.971667466
5000041,104,176946,2026-02-19 21:03:00,Delivered,2026-02-19 21:03:00,2026-02-19 21:04:00,2026-02-19 21:09:07.311034980,2026-02-19 21:10:07.675367370,2026-02-19 21:13:26.489823486
5000042,104,104448,2026-02-22 10:03:00,Delivered,2026-02-22 10:03:00,2026-02-22 10:05:00,2026-02-22 10:08:58.985167266,2026-02-22 10:11:01.435750836,2026-02-22 10:14:20.437447668
5000043,107,170645,2026-02-05 10:03:00,Delivered,2026-02-05 10:03:00,2026-02-05 10:04:00,2026-02-05 10:07:27.722853912,2026-02-05 10:08:19.979543214,2026-02-05 10:11:31.900181808
