picking_id,order_id,picker_id,store_id,product_id,aisle_id,pick_start_time,pick_end_time,quantity_picked,distance_travelled_m
7000001,5000001,2036,102,10376,A07,2026-05-31 18:08:16,2026-05-31 18:08:49.835901948,1,68.2
7000002,5000002,2037,108,10002,A12,2026-06-07 13:06:32,2026-06-07 13:06:45.010667739,1,10.64
7000003,5000002,2001,108,10166,A05,2026-06-07 13:05:41,2026-06-07 13:06:03.127449413,1,33.52
7000004,5000002,2001,108,10034,A06,2026-06-07 13:08:05,2026-06-07 13:08:29.133522480,1,43.12
7000005,5000002,2027,108,10124,A01,2026-06-07 13:08:28,2026-06-07 13:09:04.826157392,1,66.74
7000006,5000003,2026,109,10112,A05,2026-04-19 11:08:56,2026-04-19 11:09:35.802923773,1,71.5
7000007,5000003,2036,109,10004,A03,2026-04-19 11:08:35,2026-04-19 11:09:00.349733161,1,44.1
7000008,5000003,2037,109,10152,A01,2026-04-19 11:06:31,2026-04-19 11:07:01.241655172,3,54.02
7000009,5000003,2007,109,10010,A05,2026-04-19 11:06:33,2026-04-19 11:06:54.866245831,1,35.78
7000010,5000003,2029,109,10265,A08,2026-04-19 11:05:56,2026-04-19 11:06:22.406524766,1,42.82
7000011,5000004,2007,105,10012,A08,2026-04-24 21:07:41,2026-04-24 21:08:00.777657286,2,20.64
7000012,5000004,2010,105,10034,A05,2026-04-24 21:05:20,2026-04-24 21:05:54.992824663,1,54.86
7000013,5000004,2028,105,10272,A02,2026-04-24 21:05:24,2026-04-24 21:05:51.764769199,1,46.92
7000014,5000004,2004,105,10017,A03,2026-04-24 21:06:10,2026-04-24 21:06:40.335741209,1,61.38
7000015,5000005,2035,102,10119,A11,2026-06-17 17:05:43,2026-06-17 17:06:27.614955085,2,82.84
7000016,5000005,2031,102,10001,A01,2026-06-17 17:05:17,2026-06-17 17:05:44.050873291,1,33.92
7000017,5000005,2006,102,10004,A08,2026-06-17 17:08:03,2026-06-17 17:08:15.821893422,1,13.76
7000018,5000005,2023,102,10373,A02,2026-06-17 17:05:22,2026-06-17 17:05:57.471207804,3,51.08
7000019,5000005,2035,102,10002,A03,2026-06-17 17:08:50,2026-06-17 17:09:24.953572788,1,57.88
7000020,5000006,2028,110,10018,A04,2026-04-21 22:08:58,2026-04-21 22:09:22.186779533,1,38.02
7000021,5000006,2009,110,10293,A10,2026-04-21 22:06:17,2026-04-21 22:06:52.984748812,1,69.74
