product_id,sku_code,product_name,category,subcategory,brand,unit_price,unit_weight_kg,shelf_life_days,unit_cost
10001,SKU10001,Namkeen 0001,Snacks,Namkeen,Local,36.98,2.276,104,28.6
10002,SKU10002,Frozen Snacks 0002,Frozen,Frozen Snacks,Tata,67.7,4.468,73,47.84
10003,SKU10003,Cleaner 0003,Household,Cleaner,Dove,35.67,3.761,145,27.08
10004,SKU10004,Tissue 0004,Household,Tissue,Dove,76.16,4.959,107,54.86
10005,SKU10005,Detergent 0005,Household,Detergent,Local,93.94,2.68,121,74.04
10006,SKU10006,Garbage Bags 0006,Household,Garbage Bags,Amul,65.58,3.317,194,47.37
10007,SKU10007,Chips 0007,Snacks,Chips,Local,47.32,1.547,70,32.7
10008,SKU10008,Buns 0008,Bakery,Buns,Amul,68.51,4.74,322,50.86
10009,SKU10009,Flour 0009,Staples,Flour,ITC,46.79,1.863,266,31.39
10010,SKU10010,Coffee 0010,Beverages,Coffee,Parle,87.16,3.706,278,56.08
10011,SKU10011,Chips 0011,Snacks,Chips,Nestle,21.85,2.046,63,14.78
10012,SKU10012,Onion 0012,Vegetables,Onion,Britannia,46.16,2.831,259,27.5
10013,SKU10013,Cakes 0013,Bakery,Cakes,Britannia,20.18,3.613,305,15.44
10014,SKU10014,Ice Cream 0014,Frozen,Ice Cream,Dove,25.85,2.569,65,16.04
10015,SKU10015,Garbage Bags 0015,Household,Garbage Bags,Nestle,107.98,4.54,274,63.87
10016,SKU10016,Soap 0016,Personal Care,Soap,Nestle,85.42,2.126,131,52.66
10017,SKU10017,Juice 0017,Beverages,Juice,Local,38.1,3.253,287,29.62
10018,SKU10018,Rice 0018,Staples,Rice,Britannia,25.76,1.745,175,16.46
10019,SKU10019,Namkeen 0019,Snacks,Namkeen,Local,15.0,2.07,293,11.03
10020,SKU10020,Water 0020,Beverages,Water,Local,41.61,2.228,55,32.51
10021,SKU10021,Coffee 0021,Beverages,Coffee,Parle,183.13,0.673,143,104.57
10022,SKU10022,Apple 0022,Fruits,Apple,Britannia,67.86,0.504,101,51.34
10023,SKU10023,Butter 0023,Dairy,Butter,Britannia,41.27,3.354,92,26.13
10024,SKU10024,Chocolate 0024,Snacks,Chocolate,Nestle,68.89,3.295,113,41.92
10025,SKU10025,Sugar 0025,Staples,Sugar,Parle,25.02,3.331,140,18.41
10026,SKU10026,Cheese 0026,Dairy,Cheese,Britannia,47.06,0.148,48,37.44
10027,SKU10027,Dal 0027,Staples,Dal,ITC,57.38,1.666,258,36.13
