store_id,product_id,location_id,aisle_id,shelf_id,rack_position,zone,distance_from_packing_m
101,10001,1,A08,S03,R02,Snacks,13.69
101,10002,2,A03,S01,R03,Frozen,13.97
101,10003,3,A05,S01,R01,Household,15.88
101,10004,4,A05,S06,R04,Household,28.81
101,10005,5,A01,S03,R05,Household,20.95
101,10006,6,A06,S01,R03,Household,12.91
101,10007,7,A02,S06,R04,Snacks,29.45
101,10008,8,A01,S02,R05,Bakery,18.65
101,10009,9,A08,S03,R03,Staples,16.12
101,10010,10,A02,S03,R03,Beverages,21.43
101,10011,11,A08,S05,R01,Snacks,26.48
101,10012,12,A10,S01,R03,Vegetables,16.24
101,10013,13,A12,S07,R01,Bakery,30.65
101,10014,14,A04,S06,R05,Frozen,30.52
101,10015,15,A11,S06,R01,Household,13.91
101,10016,16,A11,S02,R02,Personal Care,12.86
101,10017,17,A01,S04,R05,Beverages,11.95
101,10018,18,A02,S03,R04,Staples,11.35
101,10019,19,A11,S04,R05,Snacks,26.79
101,10020,20,A09,S03,R01,Beverages,18.3
101,10021,21,A04,S01,R03,Beverages,7.03
101,10022,22,A05,S02,R02,Fruits,8.93
101,10023,23,A05,S06,R02,Dairy,14.43
101,10024,24,A05,S01,R05,Snacks,13.5
101,10025,25,A06,S02,R03,Staples,10.21
101,10026,26,A12,S07,R03,Dairy,23.45
101,10027,27,A01,S07,R05,Staples,28.84
101,10028,28,A05,S03,R04,Staples,22.99
101,10029,29,A03,S04,R03,Fruits,24.22
101,10030,30,A06,S02,R02,Personal Care,20.69
101,10031,31,A09,S03,R04,Bakery,25.2
101,10032,32,A12,S01,R01,Household,26.18
101,10033,33,A08,S06,R03,Household,27.07
101,10034,34,A04,S01,R02,Vegetables,5.57
101,10035,35,A03,S04,R04,Dairy,5.8
101,10036,36,A12,S02,R03,Frozen,22.05
101,10037,37,A09,S04,R05,Beverages,23.0
101,10038,38,A06,S03,R01,Staples,5.25
101,10039,39,A08,S04,R02,Personal Care,18.91
101,10040,40,A04,S01,R03,Household,20.91
101,10041,41,A06,S02,R05,Household,21.04
101,10042,42,A02,S02,R02,Bakery,8.29
101,10043,43,A07,S05,R05,Vegetables,7.31
101,10044,44,A06,S02,R05,Beverages,14.68
101,10045,45,A03,S03,R05,Beverages,18.43
101,10046,46,A04,S01,R04,Dairy,31.02
101,10047,47,A09,S07,R05,Snacks,7.72
101,10048,48,A06,S03,R04,Bakery,28.52
101,10049,49,A07,S07,R03,Household,6.12
101,10050,50,A11,S05,R01,Personal Care,29.07
101,10051,51,A12,S07,R02,Frozen,25.79
101,10052,52,A12,S01,R02,Household,21.9
101,10053,53,A12,S01,R05,Vegetables,20.63
101,10054,54,A06,S04,R01,Frozen,30.04
101,10055,55,A07,S01,R02,Beverages,24.38
101,10056,56,A05,S06,R01,Vegetables,27.51
101,10057,57,A07,S07,R04,Frozen,20.23
101,10058,58,A12,S05,R03,Vegetables,17.14
101,10059,59,A07,S07,R02,Dairy,24.41
101,10060,60,A01,S07,R01,Beverages,5.42
101,10061,61,A01,S06,R04,Household,15.12
101,10062,62,A05,S04,R04,Bakery,25.47
101,10063,63,A08,S03,R05,Beverages,17.41
101,10064,64,A06,S03,R03,Bakery,28.1
101,10065,65,A11,S02,R04,Personal Care,14.77
101,10066,66,A08,S06,R05,Beverages,9.33
101,10067,67,A07,S03,R04,Vegetables,6.43
101,10068,68,A11,S03,R04,Fruits,32.54
101,10069,69,A09,S01,R04,Snacks,13.93
101,10070,70,A08,S04,R03,Personal Care,21.34
101,10071,71,A03,S03,R05,Frozen,14.76
101,10072,72,A09,S01,R02,Beverages,7.11
101,10073,73,A05,S07,R01,Bakery,26.6
101,10074,74,A11,S01,R05,Staples,32.67
101,10075,75,A07,S07,R04,Personal Care,9.22
101,10076,76,A02,S06,R05,Household,5.27
101,10077,77,A01,S06,R04,Dairy,9.13
101,10078,78,A11,S05,R05,Vegetables,34.96
101,10079,79,A07,S04,R05,Household,8.23
101,10080,80,A12,S06,R04,Staples,19.31
101,10081,81,A08,S02,R04,Beverages,6.57
101,10082,82,A06,S01,R03,Staples,37.92
101,10083,83,A09,S02,R05,Staples,11.33
101,10084,84,A03,S04,R02,Vegetables,9.62
101,10085,85,A02,S07,R01,Staples,32.29
101,10086,86,A10,S03,R02,Fruits,22.89
101,10087,87,A02,S04,R02,Fruits,40.06
101,10088,88,A06,S05,R02,Personal Care,18.7
101,10089,89,A02,S07,R01,Personal Care,15.22
101,10090,90,A01,S05,R05,Bakery,10.52
101,10091,91,A07,S03,R02,Staples,28.97
101,10092,92,A03,S04,R02,Bakery,8.32
101,10093,93,A06,S06,R03,Staples,27.17
101,10094,94,A12,S04,R04,Dairy,35.11
101,10095,95,A03,S03,R02,Household,27.33
101,10096,96,A04,S03,R01,Household,23.5
101,10097,97,A04,S02,R01,Household,38.44
101,10098,98,A10,S02,R04,Personal Care,20.16
101,10099,99,A06,S03,R03,Beverages,9.87
101,10100,100,A04,S01,R04,Household,21.68
101,10101,101,A11,S05,R02,Fruits,37.2
101,10102,102,A02,S07,R01,Household,20.57
101,10103,103,A12,S07,R02,Snacks,28.79
101,10104,104,A05,S03,R04,Beverages,10.09
101,10105,105,A10,S07,R04,Snacks,8.22
101,10106,106,A05,S03,R01,Snacks,22.78
101,10107,107,A02,S01,R02,Dairy,34.08
101,10108,108,A07,S04,R05,Bakery,7.75
101,10109,109,A05,S07,R01,Fruits,22.34
101,10110,110,A04,S01,R05,Bakery,23.12
101,10111,111,A02,S06,R02,Beverages,22.85
101,10112,112,A08,S02,R05,Personal Care,19.41
101,10113,113,A01,S05,R01,Personal Care,24.88
101,10114,114,A09,S02,R05,Beverages,21.95
101,10115,115,A07,S02,R01,Staples,6.27
101,10116,116,A05,S01,R03,Snacks,27.49
101,10117,117,A06,S06,R01,Dairy,37.24
101,10118,118,A07,S05,R02,Household,19.93
101,10119,119,A07,S01,R05,Snacks,11.16
101,10120,120,A12,S04,R04,Personal Care,26.35
101,10121,121,A11,S07,R01,Snacks,9.05
101,10122,122,A04,S04,R01,Snacks,21.73
101,10123,123,A09,S05,R03,Dairy,21.27
101,10124,124,A12,S06,R02,Snacks,12.42
101,10125,125,A12,S06,R03,Household,17.17
101,10126,126,A04,S05,R01,Vegetables,32.55
101,10127,127,A09,S04,R03,Personal Care,14.07
101,10128,128,A06,S02,R02,Dairy,19.04
101,10129,129,A09,S03,R02,Vegetables,9.47
101,10130,130,A10,S05,R02,Beverages,9.12
101,10131,131,A06,S01,R05,Frozen,9.53
101,10132,132,A03,S06,R02,Fruits,34.29
101,10133,133,A03,S07,R01,Fruits,35.29
101,10134,134,A04,S01,R04,Beverages,39.08
101,10135,135,A01,S01,R01,Frozen,7.58
101,10136,136,A07,S05,R04,Staples,19.07
101,10137,137,A11,S04,R01,Dairy,14.09
101,10138,138,A02,S01,R05,Fruits,6.78
101,10139,139,A06,S04,R01,Staples,19.84
101,10140,140,A10,S05,R05,Dairy,25.05
101,10141,141,A10,S05,R03,Staples,26.61
101,10142,142,A03,S01,R04,Fruits,31.66
101,10143,143,A06,S03,R04,Frozen,40.97
101,10144,144,A06,S03,R05,Fruits,29.81
101,10145,145,A11,S05,R04,Beverages,19.61
101,10146,146,A04,S02,R04,Personal Care,15.43
101,10147,147,A06,S06,R02,Bakery,24.57
101,10148,148,A08,S01,R05,Snacks,18.7
101,10149,149,A05,S06,R03,Snacks,7.08
101,10150,150,A08,S06,R01,Household,27.4
101,10151,151,A07,S06,R03,Frozen,22.18
101,10152,152,A04,S03,R04,Personal Care,23.2
101,10153,153,A03,S07,R05,Beverages,11.51
101,10154,154,A03,S01,R03,Beverages,28.76
101,10155,155,A08,S07,R01,Beverages,37.22
101,10156,156,A01,S02,R01,Staples,27.28
101,10157,157,A01,S03,R05,Vegetables,4.61
101,10158,158,A07,S06,R02,Bakery,19.71
101,10159,159,A01,S05,R01,Vegetables,7.86
101,10160,160,A06,S06,R01,Dairy,33.28
101,10161,161,A10,S07,R05,Bakery,6.9
101,10162,162,A12,S06,R03,Dairy,25.32
101,10163,163,A02,S01,R01,Household,23.4
101,10164,164,A07,S01,R04,Household,29.13
101,10165,165,A04,S07,R05,Personal Care,10.97
101,10166,166,A05,S07,R05,Beverages,41.89
101,10167,167,A05,S02,R04,Household,15.07
101,10168,168,A03,S04,R03,Bakery,5.6
101,10169,169,A10,S07,R04,Frozen,15.43
101,10170,170,A05,S01,R04,Snacks,29.38
101,10171,171,A08,S02,R03,Frozen,23.84
101,10172,172,A06,S07,R01,Bakery,24.73
101,10173,173,A02,S03,R04,Beverages,14.54
101,10174,174,A04,S04,R03,Personal Care,30.94
101,10175,175,A06,S03,R04,Beverages,31.45
101,10176,176,A03,S01,R05,Beverages,18.79
101,10177,177,A06,S01,R04,Bakery,30.98
101,10178,178,A11,S04,R04,Vegetables,35.84
101,10179,179,A06,S05,R04,Fruits,17.37
101,10180,180,A03,S01,R01,Vegetables,37.24
101,10181,181,A11,S04,R01,Personal Care,19.97
101,10182,182,A08,S07,R02,Personal Care,26.54
101,10183,183,A05,S05,R05,Personal Care,7.65
101,10184,184,A12,S05,R04,Vegetables,26.88
101,10185,185,A08,S04,R01,Frozen,8.1
101,10186,186,A09,S07,R04,Dairy,39.4
101,10187,187,A07,S03,R02,Vegetables,16.46
101,10188,188,A08,S06,R02,Bakery,25.3
101,10189,189,A01,S06,R04,Vegetables,8.18
101,10190,190,A01,S02,R02,Frozen,24.74
101,10191,191,A05,S02,R04,Vegetables,23.16
101,10192,192,A12,S04,R02,Frozen,19.39
101,10193,193,A12,S04,R03,Beverages,6.06
101,10194,194,A01,S04,R01,Personal Care,5.8
101,10195,195,A02,S07,R04,Beverages,36.12
101,10196,196,A07,S01,R02,Fruits,39.57
101,10197,197,A08,S04,R04,Household,18.44
101,10198,198,A12,S06,R01,Frozen,38.44
101,10199,199,A12,S01,R03,Fruits,39.44
101,10200,200,A12,S03,R05,Household,13.93
101,10201,201,A06,S05,R01,Fruits,14.52
101,10202,202,A04,S03,R04,Household,10.19
101,10203,203,A05,S05,R05,Household,17.71
101,10204,204,A09,S02,R01,Beverages,15.08
101,10205,205,A12,S06,R03,Household,16.37
101,10206,206,A09,S05,R04,Fruits,22.86
101,10207,207,A09,S01,R03,Dairy,8.43
101,10208,208,A03,S04,R04,Dairy,5.72
101,10209,209,A01,S04,R01,Beverages,35.56
101,10210,210,A12,S06,R01,Frozen,9.27
101,10211,211,A04,S03,R02,Bakery,10.14
101,10212,212,A04,S04,R01,Beverages,5.9
101,10213,213,A05,S01,R03,Household,30.73
101,10214,214,A04,S02,R01,Fruits,23.41
101,10215,215,A02,S01,R04,Household,40.87
101,10216,216,A02,S05,R02,Vegetables,40.4
101,10217,217,A10,S05,R02,Staples,14.13
101,10218,218,A10,S04,R01,Snacks,17.02
101,10219,219,A05,S07,R05,Snacks,23.78
101,10220,220,A06,S07,R03,Bakery,4.06
101,10221,221,A12,S02,R05,Beverages,37.55
101,10222,222,A12,S06,R04,Staples,6.01
101,10223,223,A02,S01,R05,Dairy,27.24
101,10224,224,A11,S06,R04,Household,12.72
101,10225,225,A08,S03,R03,Beverages,10.64
101,10226,226,A05,S02,R05,Household,35.04
101,10227,227,A03,S07,R02,Personal Care,28.54
101,10228,228,A10,S03,R04,Beverages,37.48
101,10229,229,A11,S07,R05,Vegetables,8.21
101,10230,230,A02,S02,R03,Personal Care,18.42
101,10231,231,A08,S05,R03,Bakery,32.49
101,10232,232,A10,S04,R03,Snacks,36.34
101,10233,233,A12,S04,R01,Dairy,21.99
101,10234,234,A10,S01,R04,Personal Care,34.32
101,10235,235,A02,S02,R01,Personal Care,34.0
101,10236,236,A04,S03,R02,Dairy,36.98
101,10237,237,A08,S03,R03,Household,37.16
101,10238,238,A05,S01,R05,Beverages,11.01
101,10239,239,A09,S04,R02,Household,14.9
101,10240,240,A02,S03,R05,Dairy,14.72
101,10241,241,A02,S04,R01,Bakery,23.92
101,10242,242,A06,S02,R05,Beverages,17.64
101,10243,243,A06,S03,R01,Bakery,35.9
101,10244,244,A02,S01,R02,Vegetables,12.48
101,10245,245,A04,S05,R02,Personal Care,41.53
101,10246,246,A05,S02,R03,Bakery,29.2
101,10247,247,A08,S04,R03,Personal Care,29.42
101,10248,248,A07,S07,R03,Bakery,5.39
101,10249,249,A03,S05,R05,Bakery,23.67
101,10250,250,A09,S01,R05,Snacks,31.17
101,10251,251,A07,S02,R05,Household,5.1
101,10252,252,A07,S02,R02,Bakery,4.74
101,10253,253,A01,S04,R01,Fruits,5.68
101,10254,254,A03,S04,R02,Frozen,22.19
101,10255,255,A08,S03,R04,Frozen,5.43
101,10256,256,A12,S04,R03,Snacks,5.72
101,10257,257,A11,S07,R03,Beverages,19.78
101,10258,258,A06,S03,R02,Vegetables,22.34
101,10259,259,A07,S05,R03,Personal Care,10.59
101,10260,260,A12,S02,R04,Snacks,16.13
101,10261,261,A09,S05,R02,Fruits,30.75
101,10262,262,A11,S07,R03,Dairy,16.12
101,10263,263,A08,S01,R04,Bakery,31.04
101,10264,264,A10,S01,R01,Frozen,27.38
101,10265,265,A08,S06,R03,Beverages,41.8
101,10266,266,A11,S06,R04,Beverages,23.73
101,10267,267,A08,S04,R02,Beverages,35.96
101,10268,268,A04,S01,R02,Household,12.18
101,10269,269,A05,S06,R01,Dairy,32.71
101,10270,270,A02,S01,R05,Dairy,29.95
101,10271,271,A03,S01,R03,Fruits,41.66
101,10272,272,A06,S01,R03,Beverages,16.95
101,10273,273,A11,S04,R02,Personal Care,14.04
101,10274,274,A02,S02,R04,Beverages,31.74
101,10275,275,A06,S01,R02,Beverages,8.29
101,10276,276,A08,S03,R01,Frozen,5.41
101,10277,277,A05,S03,R04,Bakery,9.55
101,10278,278,A09,S07,R03,Snacks,40.46
101,10279,279,A04,S06,R05,Snacks,13.65
101,10280,280,A02,S03,R05,Beverages,30.78
101,10281,281,A03,S05,R03,Staples,39.46
101,10282,282,A09,S05,R01,Fruits,27.83
101,10283,283,A03,S06,R01,Frozen,25.35
101,10284,284,A02,S01,R02,Vegetables,4.74
101,10285,285,A03,S02,R02,Snacks,28.86
101,10286,286,A05,S05,R01,Snacks,16.39
101,10287,287,A12,S06,R04,Staples,11.84
101,10288,288,A01,S02,R04,Beverages,41.46
101,10289,289,A07,S01,R05,Fruits,40.84
101,10290,290,A02,S04,R02,Dairy,37.82
101,10291,291,A12,S01,R02,Vegetables,32.7
101,10292,292,A02,S01,R01,Staples,14.12
101,10293,293,A03,S03,R01,Dairy,24.12
101,10294,294,A03,S04,R01,Staples,22.31
101,10295,295,A12,S01,R01,Snacks,31.32
101,10296,296,A12,S04,R03,Bakery,35.75
101,10297,297,A01,S01,R02,Vegetables,23.75
101,10298,298,A08,S06,R04,Snacks,10.28
101,10299,299,A03,S06,R05,Vegetables,32.7
101,10300,300,A09,S04,R05,Bakery,16.02
101,10301,301,A09,S01,R01,Personal Care,23.86
101,10302,302,A03,S07,R01,Personal Care,37.35
101,10303,303,A10,S01,R05,Bakery,11.85
101,10304,304,A03,S01,R01,Fruits,6.95
101,10305,305,A05,S06,R04,Fruits,23.89
